"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"22","ASV22",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"23","ASV23",8039,"Salvelinus malma","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","Salvelinus malma"
"24","ASV24",428036,"Lumpenus sagitta","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus sagitta"
"25","ASV25",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"26","ASV26",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"27","ASV27",320617,"Enophrys bison","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Enophrys","Enophrys bison"
"28","ASV28",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"29","ASV29",195622,"Lepidopsetta","genus",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta",""
"30","ASV30",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"31","ASV31",328409,"Oligocottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Oligocottus",""
"32","ASV32",274807,"Bathymaster","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Bathymasteridae","Bathymaster",""
"33","ASV33",8266,"Hippoglossus","genus",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossus",""
"34","ASV34",8018,"Oncorhynchus keta","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus keta"
"35","ASV35",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"36","ASV36",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"37","ASV37",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"38","ASV38",57779,"Apodichthys flavidus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Pholidae","Apodichthys","Apodichthys flavidus"
"39","ASV39",274758,"Artedius fenestralis","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Artedius","Artedius fenestralis"
"40","ASV40",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"41","ASV41",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"42","ASV42",8019,"Oncorhynchus kisutch","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"43","ASV43",214925,"Leptocottus armatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Leptocottus","Leptocottus armatus"
"44","ASV44",72450,"Hexagrammos otakii","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos","Hexagrammos otakii"
"45","ASV45",433399,"Artedius harringtoni","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Artedius","Artedius harringtoni"
"46","ASV46",300346,"Hypomesus pretiosus","species",NA,"Metazoa","Chordata","Actinopteri","Osmeriformes","Osmeridae","Hypomesus","Hypomesus pretiosus"
"47","ASV47",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"48","ASV48",459045,"Clinocottus acuticeps","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Clinocottus","Clinocottus acuticeps"
"49","ASV49",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"50","ASV50",320590,"Zaprora silenus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Zaproridae","Zaprora","Zaprora silenus"
"51","ASV51",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"52","ASV52",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"53","ASV53",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"54","ASV54",80721,"Microgadus proximus","species",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Microgadus","Microgadus proximus"
"55","ASV55",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"56","ASV56",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"57","ASV57",980336,"Lumpenus fabricii","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","Lumpenus","Lumpenus fabricii"
"58","ASV58",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"59","ASV59",195622,"Lepidopsetta","genus",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Lepidopsetta",""
"60","ASV60",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"61","ASV61",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"62","ASV62",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"63","ASV63",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"64","ASV64",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"65","ASV65",74940,"Oncorhynchus tshawytscha","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha"
"66","ASV66",44932,"Boreogadus saida","species",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Boreogadus","Boreogadus saida"
"67","ASV67",274705,"Sebastinae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","",""
"68","ASV68",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"69","ASV69",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"70","ASV70",34820,"Sebastes","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",""
"71","ASV71",319775,"Citharichthys stigmaeus","species",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys stigmaeus"
"72","ASV72",240152,"Aulorhynchus flavidus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Aulorhynchidae","Aulorhynchus","Aulorhynchus flavidus"
"73","ASV73",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"74","ASV74",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"75","ASV75",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"76","ASV76",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"77","ASV77",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"78","ASV78",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"79","ASV79",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"80","ASV80",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"81","ASV81",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"82","ASV82",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"83","ASV83",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"84","ASV84",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"85","ASV85",9606,"Homo sapiens","species",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"86","ASV86",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"87","ASV87",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"88","ASV88",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"89","ASV89",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"90","ASV90",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"91","ASV91",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"92","ASV92",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"93","ASV93",239743,"Myoxocephalus stelleri","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus","Myoxocephalus stelleri"
"94","ASV94",1,"root","no rank",1,"","","","","","",""
"95","ASV95",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"96","ASV96",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"97","ASV97",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"98","ASV98",30892,"Stichaeidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","",""
"99","ASV99",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"100","ASV100",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"101","ASV101",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"102","ASV102",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"103","ASV103",980325,"Blepsias bilobus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Agonidae","Blepsias","Blepsias bilobus"
"104","ASV104",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"105","ASV105",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"106","ASV106",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"107","ASV107",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"108","ASV108",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"109","ASV109",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"110","ASV110",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"111","ASV111",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"112","ASV112",30892,"Stichaeidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","",""
"113","ASV113",229290,"Anoplopoma fimbria","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria"
"114","ASV114",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"115","ASV115",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"116","ASV116",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"117","ASV117",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"118","ASV118",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"119","ASV119",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"120","ASV120",69293,"Gasterosteus aculeatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"121","ASV121",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"122","ASV122",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"123","ASV123",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"124","ASV124",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"125","ASV125",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"126","ASV126",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"127","ASV127",1562383,"Polypera greeni","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Liparidae","Polypera","Polypera greeni"
"128","ASV128",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"129","ASV129",8095,"Myoxocephalus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Myoxocephalus",""
"130","ASV130",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"131","ASV131",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"132","ASV132",72073,"Sebastes entomelas","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes entomelas"
"133","ASV133",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"134","ASV134",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"135","ASV135",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"136","ASV136",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"137","ASV137",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"138","ASV138",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"139","ASV139",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"140","ASV140",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"141","ASV141",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"142","ASV142",1,"root","no rank",1,"","","","","","",""
"143","ASV143",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"144","ASV144",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"145","ASV145",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"146","ASV146",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"147","ASV147",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"148","ASV148",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"149","ASV149",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"150","ASV150",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"151","ASV151",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"152","ASV152",1,"root","no rank",1,"","","","","","",""
"153","ASV153",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"154","ASV154",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"155","ASV155",30892,"Stichaeidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","",""
"156","ASV156",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"157","ASV157",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"158","ASV158",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"159","ASV159",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"160","ASV160",8109,"Sebastolobus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastolobus",""
"161","ASV161",1,"root","no rank",1,"","","","","","",""
"162","ASV162",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"163","ASV163",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"164","ASV164",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"165","ASV165",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"166","ASV166",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"167","ASV167",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"168","ASV168",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"169","ASV169",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"170","ASV170",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"171","ASV171",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"172","ASV172",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"173","ASV173",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"174","ASV174",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"175","ASV175",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"176","ASV176",30892,"Stichaeidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","",""
"177","ASV177",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"178","ASV178",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"179","ASV179",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"180","ASV180",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"181","ASV181",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"182","ASV182",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"183","ASV183",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"184","ASV184",274705,"Sebastinae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Sebastidae","",""
"185","ASV185",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"186","ASV186",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"187","ASV187",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"188","ASV188",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"189","ASV189",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"190","ASV190",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"191","ASV191",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"192","ASV192",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"193","ASV193",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"194","ASV194",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"195","ASV195",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"196","ASV196",30892,"Stichaeidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Stichaeidae","",""
"197","ASV197",8256,"Pleuronectidae","family",NA,"Metazoa","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","",""
"198","ASV198",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"199","ASV199",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"200","ASV200",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"201","ASV201",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"202","ASV202",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"203","ASV203",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"204","ASV204",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"205","ASV205",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"206","ASV206",8048,"Gadus","genus",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","Gadus",""
"207","ASV207",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"208","ASV208",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"209","ASV209",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"210","ASV210",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"211","ASV211",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"212","ASV212",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"213","ASV213",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"214","ASV214",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"215","ASV215",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"216","ASV216",181459,"Aptocyclus ventricosus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cyclopteridae","Aptocyclus","Aptocyclus ventricosus"
"217","ASV217",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"218","ASV218",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"219","ASV219",72449,"Hexagrammos","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Hexagrammidae","Hexagrammos",""
"220","ASV220",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"221","ASV221",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"222","ASV222",320618,"Liparis florae","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis florae"
"223","ASV223",8045,"Gadidae","family",NA,"Metazoa","Chordata","Actinopteri","Gadiformes","Gadidae","",""
"224","ASV224",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"225","ASV225",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"226","ASV226",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"227","ASV227",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"228","ASV228",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"229","ASV229",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
"230","ASV230",186623,"Actinopteri","class",1,"Metazoa","Chordata","Actinopteri","","","",""
